id,price
89224365f8,[294015.40625]
363731333f,[215070.15625]
4c29a27f44,[1140832.75]
7b16cf224b,[469715.1875]
c0c699ebcc,[304761.09375]
d36b41a815,[167321.6875]
9be92984b9,[539090.4375]
f774771058,[300455.125]
0c4add382a,[2038893.25]
eb15c43587,[1255672.375]
b3bffc4413,[751076.9375]
50a0189faf,[213781.296875]
b7736872b6,[1279916.625]
2db79d7c7c,[202645.78125]
fe82d83b82,[1101500.75]
7ca2b5fb45,[370793.21875]
191c9ed2b9,[268181.9375]
38e7d3b079,[328398.21875]
53bd232479,[1174712.25]
b579f925a4,[575358.0]
ac739b93d5,[218605.0]
236c77bef3,[1340728.375]
ee0f074d18,[371409.90625]
6838647e07,[222661.59375]
97b93cb9da,[418727.4375]
a6afcab962,[261337.3125]
d18c0d9701,[175842.5625]
f397d1c3b5,[150170.234375]
416abf241b,[446019.59375]
cd7b9e6892,[192542.25]
1bbdeca9cc,[276908.09375]
dee4cf0f73,[3484170.75]
15eef1b505,[460171.3125]
acb50155fd,[286962.03125]
f86d1b5388,[3111561.25]
d462677f58,[272487.90625]
17cad21fb5,[770005.8125]
5c6da2065f,[2229872.0]
93c1417483,[1428560.625]
a62f4d13fc,[843260.875]
cb571ac25e,[126960.875]
2a666915d8,[553609.3125]
4fb8049c7d,[334213.84375]
a46066f9f8,[389111.1875]
c5e1be1f7d,[251661.421875]
ce705fc4c7,[446019.59375]
1ac15cc6fa,[665025.0625]
b54552d300,[315499.59375]
8455444608,[248190.53125]
926ade7128,[444534.53125]
8e46a4196e,[316350.4375]
1bdeeb0ec4,[531901.1875]
ecf051494f,[400896.4375]
d0df26e835,[316116.25]
bdb463aa31,[504122.3125]
451c6b060b,[252793.34375]
3ba0746828,[3542658.25]
0a2024537c,[912912.1875]
ce510197cc,[1409785.125]
f08586e82b,[218605.0]
77bcc040f0,[175842.5625]
e93a57cecd,[320031.5625]
2425392c5c,[298294.875]
bac1f45cbb,[1147925.5]
a8772ea1a1,[1205145.5]
78a67ef917,[1166640.0]
e34e635c7f,[784854.5]
3392cf25c6,[234118.296875]
84e064e108,[185488.234375]
4039d69c01,[273997.5625]
44acada236,[1818600.5]
723ad7e454,[1139323.375]
c0ac922dfc,[796613.9375]
ec45577ef5,[48820.765625]
8cef4ea5bc,[304802.46875]
a5880df625,[231542.046875]
193272c882,[201503.71875]
0f91c2363a,[1594244.75]
18a203f9be,[346711.0625]
91bdda9c69,[117147.7421875]
9e01a0f264,[1094831.125]
159b4e3bd2,[537574.0]
9fc8625a93,[299804.5625]
6e2c8a853b,[1389182.125]
cdaea5e849,[441080.25]
63fe80f44d,[831305.375]
5e4c8a7a22,[518359.0]
27cac6af34,[504724.09375]
a2cbbfda38,[320827.75]
f56a988f59,[149732.625]
83b75f343c,[251237.734375]
d03e0d76cb,[645936.6875]
09e60e272f,[628248.75]
c5581bd15f,[582020.3125]
d6d2c63770,[1842437.25]
